y,F1,F2,F3,F4
1,65,0.2771759,0.43740845,-0.08683777
1,75,0.1953125,0.36653137,-0.11126709
1,85,0.09513855,0.2419281,-0.11982727
1,94,0.001083374,0.086761475,-0.12471008
1,103,-0.07588196,-0.06593323,-0.13327026
1,113,-0.12231445,-0.17346191,-0.1320343
1,122,-0.13574219,-0.22843933,-0.11494446
1,135,-0.114974976,-0.24920654,-0.08317566
1,142,-0.070999146,-0.23820496,-0.040420532
1,151,-0.016021729,-0.19178772,-0.01109314
,,,,
1,3,0.034057617,-0.28829956,-0.050186157
1,13,-0.39720154,-0.072052,0.17337036
1,18,-0.51571655,0.090423584,0.18313599
1,26,-0.2566986,0.14906311,0.054885864
1,38,0.042617798,0.20892334,-0.002532959
1,46,0.21975708,0.29689026,-0.034301758
1,56,0.3065033,0.36408997,-0.069732666
1,65,0.32115173,0.38363647,-0.09049988
1,75,0.2747345,0.35064697,-0.1002655
1,85,0.19898987,0.26390076,-0.1002655
1,95,0.11956787,0.1478424,-0.0978241
1,105,0.04748535,0.026885986,-0.09661865
1,116,-0.014801025,-0.092819214,-0.08683777
1,124,-0.06123352,-0.16978455,-0.05506897
1,135,-0.09300232,-0.17834473,-0.03186035
,,,,
1,6,0.03894043,-0.11114502,0.037765503
1,16,-0.24571228,-0.0390625,0.16848755
1,27,-0.2750244,-0.002426148,0.13061523
1,36,-0.114974976,0.037887573,0.046325684
1,45,0.032852173,0.11853027,0.01335144
1,56,0.11956787,0.19671631,-0.01965332
1,64,0.162323,0.22724915,-0.053848267
1,73,0.14155579,0.20404053,-0.06729126
1,84,0.06825256,0.15882874,-0.06362915
1,94,-0.009918213,0.10386658,-0.056289673
1,103,-0.067337036,0.028121948,-0.052627563
1,113,-0.10643005,-0.048843384,-0.046524048
1,124,-0.13697815,-0.12947083,-0.03552246
1,136,-0.16262817,-0.21255493,-0.026977539
1,143,-0.19195557,-0.29562378,-0.013534546
1,152,-0.21884155,-0.3542633,-0.006210327
1,161,-0.2224884,-0.368927,-0.009872437
,,,,
1,8,-0.37399292,-0.12580872,0.17459106
1,17,-0.5609131,0.034225464,0.2197876
1,28,-0.39720154,0.10020447,0.16481018
1,34,-0.12597656,0.16127014,0.11717224
1,43,0.07925415,0.25413513,0.0683136
1,53,0.21487427,0.32133484,0.006011963
1,62,0.2796173,0.34820557,-0.048965454
1,72,0.26249695,0.3591919,-0.07949829
1,81,0.20631409,0.35186768,-0.085617065
1,92,0.13789368,0.29934692,-0.07949829
1,102,0.057250977,0.21504211,-0.07095337
1,111,-0.019683838,0.122177124,-0.06362915
1,120,-0.06977844,0.035446167,-0.056289673
1,131,-0.09300232,-0.04272461,-0.046524048
1,140,-0.09176636,-0.10992432,-0.033081055
1,150,-0.067337036,-0.13923645,-0.00743103
1,159,-0.016021729,-0.12213135,0.010894775
1,168,0.060928345,-0.08181763,0.010894775
,,,,
1,3,-0.12475586,-0.302948,0.10006714
1,13,-0.6207733,-0.11602783,0.29432678
1,19,-0.60124207,-0.07081604,0.16604614
1,28,-0.2848053,-0.040283203,0.039001465
1,37,-0.039245605,0.045211792,0.01335144
1,47,0.09513855,0.16371155,-0.02331543
1,57,0.17210388,0.25045776,-0.056289673
1,67,0.1782074,0.27001953,-0.077056885
1,77,0.10002136,0.22724915,-0.08683777
1,86,-0.018478394,0.14050293,-0.081954956
1,97,-0.12475586,0.025680542,-0.06851196
1,106,-0.19563293,-0.08670044,-0.056289673
1,116,-0.22492981,-0.18199158,-0.04408264
1,125,-0.21884155,-0.27241516,-0.028198242
1,134,-0.19563293,-0.3506012,-0.024536133
1,144,-0.1748352,-0.37991333,-0.022094727
1,153,-0.140625,-0.3677063,-0.01965332
1,163,-0.08078003,-0.34083557,-0.015975952
1,172,-0.006240845,-0.2846222,0.003570557
1,183,0.07803345,-0.21255493,0.014556885
,,,,
1,5,-0.079559326,-0.014648438,0.098846436
1,17,-0.47418213,-0.012207031,0.19657898
1,21,-0.49494934,-0.052490234,0.12693787
1,30,-0.2896881,-0.06593323,0.06097412
1,40,-0.11009216,-0.014648438,0.019439697
1,49,0.008407593,0.083099365,-0.02331543
1,59,0.101242065,0.16862488,-0.053848267
1,69,0.14399719,0.20283508,-0.07461548
1,80,0.12200928,0.17959595,-0.085617065
1,89,0.052368164,0.114852905,-0.08929443
1,99,-0.029464722,0.04032898,-0.08805847
1,109,-0.09176636,-0.02319336,-0.085617065
1,118,-0.114974976,-0.069610596,-0.08317566
1,127,-0.099090576,-0.11602783,-0.07461548
1,136,-0.06977844,-0.17710876,-0.069732666
1,147,-0.047790527,-0.23208618,-0.06729126
1,156,-0.044128418,-0.24920654,-0.04774475
1,165,-0.039245605,-0.22720337,-0.03919983
,,,,
1,3,0.20263672,-0.072052,-0.04286194
1,9,-0.1907196,0.00491333,0.13549805
1,19,-0.41796875,0.06965637,0.18437195
1,27,-0.32756042,0.08798218,0.107406616
1,36,-0.118652344,0.1270752,0.053649902
1,46,0.03894043,0.19915771,0.025558472
1,55,0.14155579,0.25291443,-0.008651733
1,66,0.18798828,0.2626953,-0.045303345
1,75,0.162323,0.24681091,-0.081954956
1,85,0.09880066,0.23092651,-0.092941284
1,95,0.04017639,0.19915771,-0.081954956
1,105,0.002288818,0.1282959,-0.073410034
1,115,-0.019683838,0.039108276,-0.073410034
1,125,-0.039245605,-0.048843384,-0.07461548
1,134,-0.051452637,-0.12336731,-0.07585144
1,144,-0.05633545,-0.17100525,-0.06851196
1,152,-0.04045105,-0.19055176,-0.052627563
1,162,-0.00869751,-0.16856384,-0.033081055
1,171,0.045043945,-0.12702942,-0.025756836
,,,,
1,6,-0.3874359,-0.17834473,0.15504456
1,14,-0.6048889,-0.053726196,0.19779968
1,25,-0.42285156,0.002471924,0.09152222
1,33,-0.13574219,0.0953064,0.04020691
1,43,0.059692383,0.23704529,0.012115479
1,53,0.1940918,0.34942627,-0.041641235
